id;city;country
2;Cincinnati;United States
3;Saint-Herblain;France
4;Frankfurt am Main;Germany
5;Hamburg;Germany
6;Almeria;Spain
7;Nantes;France
8;Washington;United States
9;Avallon;France
10;Basel;Switzerland
11;Valencia;Spain
12;Paris;France
13;Little Rock;United States
14;Huntington;United States
15;Kansas City;United States
16;Strasbourg;France
17;Luzern;Switzerland
18;Rennes;France
19;Tournon-sur-Rhône;France
20;Montpellier;France
21;Tucson;United States
22;Salt Lake City;United States
23;Roma;Italy
24;Trieste;Italy
25;München;Germany
26;Besançon;France
27;Bordeaux;France
28;Barcelona;Spain
29;Grenoble;France
30;Miami;United States
31;Daytona Beach;United States
32;New York City;United States
33;Sacramento;United States
34;Verona;Italy
35;La Rochelle;France
36;Santa Barbara;United States
37;Reims;France